Subfolder,Code_Number,Test_Passed,Error
advanced1,1,Fail,"llama3-newData-temp0-50step\advanced1_1:8: syntax error
I give up."
advanced1,2,Fail,"llama3-newData-temp0-50step\advanced1_2:8: syntax error
I give up."
advanced1,3,Yes,
advanced2,1,Yes,
advanced2,2,Yes,
advanced2,3,No,
advanced3,1,Fail,"llama3-newData-temp0-50step\advanced3_1:27: syntax error
llama3-newData-temp0-50step\advanced3_1:27: error: Invalid module instantiation
llama3-newData-temp0-50step\advanced3_1:30: syntax error
llama3-newData-temp0-50step\advanced3_1:30: error: invalid module item.
llama3-newData-temp0-50step\advanced3_1:31: syntax error
llama3-newData-temp0-50step\advanced3_1:31: error: invalid module item.
llama3-newData-temp0-50step\advanced3_1:32: syntax error
llama3-newData-temp0-50step\advanced3_1:32: error: invalid module item.
llama3-newData-temp0-50step\advanced3_1:33: syntax error
llama3-newData-temp0-50step\advanced3_1:36: error: invalid module item."
advanced3,2,Fail,"llama3-newData-temp0-50step\advanced3_2:25: syntax error
llama3-newData-temp0-50step\advanced3_2:25: error: Invalid module instantiation
llama3-newData-temp0-50step\advanced3_2:28: syntax error
llama3-newData-temp0-50step\advanced3_2:28: error: invalid module item.
llama3-newData-temp0-50step\advanced3_2:29: syntax error
llama3-newData-temp0-50step\advanced3_2:29: error: invalid module item.
llama3-newData-temp0-50step\advanced3_2:30: syntax error
llama3-newData-temp0-50step\advanced3_2:30: error: invalid module item.
llama3-newData-temp0-50step\advanced3_2:31: syntax error
llama3-newData-temp0-50step\advanced3_2:34: error: invalid module item."
advanced3,3,Yes,
advanced4,1,Yes,
advanced4,2,Yes,
advanced4,3,Yes,
advanced5,1,Fail,"llama3-newData-temp0-50step\advanced5_1:34: syntax error
I give up."
advanced5,2,Fail,"llama3-newData-temp0-50step\advanced5_2:31: syntax error
I give up."
advanced5,3,Fail,"llama3-newData-temp0-50step\advanced5_3:33: syntax error
I give up."
basic1,1,Yes,
basic1,2,Yes,
basic1,3,Yes,
basic2,1,Yes,
basic2,2,Yes,
basic2,3,Yes,
basic3,1,Yes,
basic3,2,Yes,
basic3,3,No,
basic4,1,No,
basic4,2,Fail,"llama3-newData-temp0-50step\basic4_2:9: syntax error
I give up."
basic4,3,Yes,
intermediate1,1,No,
intermediate1,2,Yes,
intermediate1,3,Yes,
intermediate2,1,Yes,
intermediate2,2,Yes,
intermediate2,3,Yes,
intermediate3,1,No,
intermediate3,2,No,
intermediate3,3,No,
intermediate4,1,Yes,
intermediate4,2,Yes,
intermediate4,3,Yes,
intermediate5,1,Yes,
intermediate5,2,Yes,
intermediate5,3,Fail,"llama3-newData-temp0-50step\intermediate5_3:21: syntax error
I give up."
intermediate6,1,Yes,
intermediate6,2,Fail,"llama3-newData-temp0-50step\intermediate6_2:13: error: q is not a valid l-value in tb_ram.UUT.
llama3-newData-temp0-50step\intermediate6_2:3:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate6,3,Fail,"llama3-newData-temp0-50step\intermediate6_3:10: error: q is not a valid l-value in tb_ram.UUT.
llama3-newData-temp0-50step\intermediate6_3:3:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate7,1,Fail,"llama3-newData-temp0-50step\intermediate7_1:42: syntax error
llama3-newData-temp0-50step\intermediate7_1:42: error: Invalid module instantiation"
intermediate7,2,Fail,"llama3-newData-temp0-50step\intermediate7_2:53: syntax error
I give up."
intermediate7,3,Yes,
intermediate8,1,No,
intermediate8,2,Yes,
intermediate8,3,No,
