Subfolder,Code_Number,Test_Passed,Error
advanced1,1,No,
advanced1,2,No,
advanced1,3,Yes,
advanced2,1,No,
advanced2,2,No,
advanced2,3,No,
advanced3,1,Fail,"Llama3-8b-fine-tuned-good_1\advanced3_1:19: warning: Using SystemVerilog 'N bit vector.  Use at least -g2005-sv to remove this warning.
Llama3-8b-fine-tuned-good_1\advanced3_1:12: error: z is not a valid l-value in tb_adv_fsm.UUT.
Llama3-8b-fine-tuned-good_1\advanced3_1:5:      : z is declared here as wire.
Llama3-8b-fine-tuned-good_1\advanced3_1:21: error: z is not a valid l-value in tb_adv_fsm.UUT.
Llama3-8b-fine-tuned-good_1\advanced3_1:5:      : z is declared here as wire.
2 error(s) during elaboration."
advanced3,2,Fail,"Llama3-8b-fine-tuned-good_1\advanced3_2:19: warning: Using SystemVerilog 'N bit vector.  Use at least -g2005-sv to remove this warning.
Llama3-8b-fine-tuned-good_1\advanced3_2:12: error: z is not a valid l-value in tb_adv_fsm.UUT.
Llama3-8b-fine-tuned-good_1\advanced3_2:5:      : z is declared here as wire.
Llama3-8b-fine-tuned-good_1\advanced3_2:21: error: z is not a valid l-value in tb_adv_fsm.UUT.
Llama3-8b-fine-tuned-good_1\advanced3_2:5:      : z is declared here as wire.
2 error(s) during elaboration."
advanced3,3,Yes,
advanced4,1,No,
advanced4,2,No,
advanced4,3,No,
advanced5,1,Fail,"Llama3-8b-fine-tuned-good_1\advanced5_1:13: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_1:13: error: Invalid module instantiation
Llama3-8b-fine-tuned-good_1\advanced5_1:16: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_1:16: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_1:17: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_1:17: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_1:18: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_1:18: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_1:19: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_1:23: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_1:24: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_1:24: error: invalid module item."
advanced5,2,Fail,"Llama3-8b-fine-tuned-good_1\advanced5_2:20: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_2:20: error: Invalid module instantiation
Llama3-8b-fine-tuned-good_1\advanced5_2:23: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_2:23: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_2:24: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_2:24: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_2:25: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_2:25: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_2:26: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_2:26: warning: Using SystemVerilog 'N bit vector.  Use at least -g2005-sv to remove this warning.
Llama3-8b-fine-tuned-good_1\advanced5_2:26: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_2:27: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_2:30: error: invalid module item."
advanced5,3,Fail,"Llama3-8b-fine-tuned-good_1\advanced5_3:13: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_3:13: error: Invalid module instantiation
Llama3-8b-fine-tuned-good_1\advanced5_3:16: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_3:16: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_3:17: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_3:17: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_3:18: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_3:18: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_3:19: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_3:19: warning: Using SystemVerilog 'N bit vector.  Use at least -g2005-sv to remove this warning.
Llama3-8b-fine-tuned-good_1\advanced5_3:19: error: invalid module item.
Llama3-8b-fine-tuned-good_1\advanced5_3:20: syntax error
Llama3-8b-fine-tuned-good_1\advanced5_3:23: error: invalid module item."
basic1,1,Yes,
basic1,2,Yes,
basic1,3,Yes,
basic2,1,Yes,
basic2,2,Yes,
basic2,3,Yes,
basic3,1,No,
basic3,2,No,
basic3,3,No,
basic4,1,Yes,
basic4,2,Yes,
basic4,3,Fail,"Llama3-8b-fine-tuned-good_1\basic4_3:8: error: out is not a valid l-value in tb_mux.UUT.
Llama3-8b-fine-tuned-good_1\basic4_3:4:      : out is declared here as wire.
Llama3-8b-fine-tuned-good_1\basic4_3:9: error: out is not a valid l-value in tb_mux.UUT.
Llama3-8b-fine-tuned-good_1\basic4_3:4:      : out is declared here as wire.
2 error(s) during elaboration."
intermediate1,1,No,
intermediate1,2,Yes,
intermediate1,3,Yes,
