Subfolder,Code_Number,Test_Passed,Error
advanced1,1,Yes,
advanced1,2,No,
advanced1,3,No,
advanced2,1,Fail,"Mistral-7b-finetuned-temp0\advanced2_1:4: syntax error
Mistral-7b-finetuned-temp0\advanced2_1:8: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced2_1:9: syntax error
Mistral-7b-finetuned-temp0\advanced2_1:10: error: invalid module item."
advanced2,2,Fail,"Mistral-7b-finetuned-temp0\advanced2_2:37: syntax error
I give up."
advanced2,3,Fail,"Mistral-7b-finetuned-temp0\advanced2_3:10: syntax error
I give up."
advanced3,1,Fail,"Mistral-7b-finetuned-temp0\advanced3_1:17: syntax error
Mistral-7b-finetuned-temp0\advanced3_1:17: error: Invalid module instantiation
Mistral-7b-finetuned-temp0\advanced3_1:20: syntax error
Mistral-7b-finetuned-temp0\advanced3_1:20: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced3_1:21: syntax error
Mistral-7b-finetuned-temp0\advanced3_1:21: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced3_1:22: syntax error
Mistral-7b-finetuned-temp0\advanced3_1:22: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced3_1:23: syntax error
I give up."
advanced3,2,Fail,"Mistral-7b-finetuned-temp0\advanced3_2:17: syntax error
Mistral-7b-finetuned-temp0\advanced3_2:17: error: Invalid module instantiation
Mistral-7b-finetuned-temp0\advanced3_2:20: syntax error
Mistral-7b-finetuned-temp0\advanced3_2:20: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced3_2:21: syntax error
Mistral-7b-finetuned-temp0\advanced3_2:21: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced3_2:22: syntax error
Mistral-7b-finetuned-temp0\advanced3_2:22: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced3_2:23: syntax error
I give up."
advanced3,3,Yes,
advanced4,1,Fail,"Mistral-7b-finetuned-temp0\advanced4_1:37: syntax error
I give up."
advanced4,2,Fail,"Mistral-7b-finetuned-temp0\advanced4_2:37: syntax error
I give up."
advanced4,3,Fail,"Mistral-7b-finetuned-temp0\advanced4_3:38: syntax error
I give up."
advanced5,1,Fail,"Mistral-7b-finetuned-temp0\advanced5_1:21: syntax error
Mistral-7b-finetuned-temp0\advanced5_1:21: error: Invalid module instantiation
Mistral-7b-finetuned-temp0\advanced5_1:24: syntax error
Mistral-7b-finetuned-temp0\advanced5_1:24: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced5_1:25: syntax error
Mistral-7b-finetuned-temp0\advanced5_1:25: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced5_1:26: syntax error
Mistral-7b-finetuned-temp0\advanced5_1:26: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced5_1:27: syntax error
I give up."
advanced5,2,Fail,"Mistral-7b-finetuned-temp0\advanced5_2:20: error: reg next_state; cannot be driven by primitives or continuous assignment.
1 error(s) during elaboration."
advanced5,3,Fail,"Mistral-7b-finetuned-temp0\advanced5_3:15: syntax error
Mistral-7b-finetuned-temp0\advanced5_3:15: error: Invalid module instantiation
Mistral-7b-finetuned-temp0\advanced5_3:18: syntax error
Mistral-7b-finetuned-temp0\advanced5_3:18: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced5_3:19: syntax error
Mistral-7b-finetuned-temp0\advanced5_3:19: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced5_3:20: syntax error
Mistral-7b-finetuned-temp0\advanced5_3:20: error: invalid module item.
Mistral-7b-finetuned-temp0\advanced5_3:21: syntax error
I give up."
basic1,1,Yes,
basic1,2,Yes,
basic1,3,Fail,"Mistral-7b-finetuned-temp0\basic1_3:7: error: Module definition wire_assign_delay cannot nest into module wire_assign.
Mistral-7b-finetuned-temp0\basic1_3:7: syntax error
Mistral-7b-finetuned-temp0\basic1_3:1: Errors in port declarations.
Mistral-7b-finetuned-temp0\basic1_3:10: syntax error
I give up."
basic2,1,Yes,
basic2,2,Yes,
basic2,3,Yes,
basic3,1,Fail,"Mistral-7b-finetuned-temp0\basic3_1:16: syntax error
I give up."
basic3,2,Fail,"Mistral-7b-finetuned-temp0\basic3_2:5: error: reg pos; cannot be driven by primitives or continuous assignment.
1 error(s) during elaboration."
basic3,3,Fail,"Mistral-7b-finetuned-temp0\basic3_3:16: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:17: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:18: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:18: warning: Numeric constant truncated to 1 bits.
Mistral-7b-finetuned-temp0\basic3_3:19: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:20: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:21: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:22: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:23: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:24: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:24: warning: Numeric constant truncated to 1 bits.
Mistral-7b-finetuned-temp0\basic3_3:25: warning: Numeric constant truncated to 2 bits.
Mistral-7b-finetuned-temp0\basic3_3:26: syntax error
I give up."
basic4,1,Yes,
basic4,2,No,
basic4,3,Yes,
intermediate1,1,Yes,
intermediate1,2,Yes,
intermediate1,3,No,
intermediate2,1,Fail,"Mistral-7b-finetuned-temp0\intermediate2_1:43: syntax error
I give up."
intermediate2,2,Fail,"Mistral-7b-finetuned-temp0\intermediate2_2:48: syntax error
I give up."
intermediate2,3,Yes,
intermediate3,1,Fail,"Mistral-7b-finetuned-temp0\intermediate3_1:11: error: r_next is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-finetuned-temp0\intermediate3_1:7:      : r_next is declared here as wire.
Mistral-7b-finetuned-temp0\intermediate3_1:12: error: r_next['sd4] is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-finetuned-temp0\intermediate3_1:7:      : r_next['sd4] is declared here as wire.
Mistral-7b-finetuned-temp0\intermediate3_1:13: error: r_next['sd2] is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-finetuned-temp0\intermediate3_1:7:      : r_next['sd2] is declared here as wire.
Mistral-7b-finetuned-temp0\intermediate3_1:14: error: feedback_value is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-finetuned-temp0\intermediate3_1:8:      : feedback_value is declared here as wire.
4 error(s) during elaboration."
