Subfolder,Code_Number,Test_Passed,Error
advanced1,1,Fail,"mistral-FT-temp0-45step\advanced1_1:16: syntax error
I give up."
advanced1,2,No,
advanced1,3,Fail,"mistral-FT-temp0-45step\advanced1_3:21: syntax error
I give up."
advanced2,1,Fail,"mistral-FT-temp0-45step\advanced2_1:42: syntax error
I give up."
advanced2,2,Fail,"mistral-FT-temp0-45step\advanced2_2:39: syntax error
I give up."
advanced2,3,No,
advanced3,1,Fail,"mistral-FT-temp0-45step\advanced3_1:272: syntax error
I give up."
advanced3,2,Fail,"mistral-FT-temp0-45step\advanced3_2:272: syntax error
I give up."
advanced3,3,Yes,
advanced4,1,Fail,"mistral-FT-temp0-45step\advanced4_1:191: syntax error
I give up."
advanced4,2,Fail,"mistral-FT-temp0-45step\advanced4_2:10: syntax error
mistral-FT-temp0-45step\advanced4_2:17: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:20: syntax error
mistral-FT-temp0-45step\advanced4_2:24: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:25: syntax error
mistral-FT-temp0-45step\advanced4_2:26: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:27: syntax error
mistral-FT-temp0-45step\advanced4_2:27: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:28: syntax error
mistral-FT-temp0-45step\advanced4_2:28: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:29: syntax error
mistral-FT-temp0-45step\advanced4_2:29: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:30: syntax error
mistral-FT-temp0-45step\advanced4_2:30: error: invalid module item.
mistral-FT-temp0-45step\advanced4_2:31: syntax error
I give up."
advanced4,3,Fail,"mistral-FT-temp0-45step\advanced4_3:38: syntax error
I give up."
advanced5,1,Fail,"mistral-FT-temp0-45step\advanced5_1:13: syntax error
mistral-FT-temp0-45step\advanced5_1:13: error: Invalid module instantiation
mistral-FT-temp0-45step\advanced5_1:16: syntax error
mistral-FT-temp0-45step\advanced5_1:16: error: invalid module item.
mistral-FT-temp0-45step\advanced5_1:17: syntax error
mistral-FT-temp0-45step\advanced5_1:17: error: invalid module item.
mistral-FT-temp0-45step\advanced5_1:18: syntax error
mistral-FT-temp0-45step\advanced5_1:18: error: invalid module item.
mistral-FT-temp0-45step\advanced5_1:19: syntax error
mistral-FT-temp0-45step\advanced5_1:23: error: invalid module item.
mistral-FT-temp0-45step\advanced5_1:24: syntax error
mistral-FT-temp0-45step\advanced5_1:24: error: invalid module item.
mistral-FT-temp0-45step\advanced5_1:25: syntax error
mistral-FT-temp0-45step\advanced5_1:27: error: invalid module item."
advanced5,2,Fail,"mistral-FT-temp0-45step\advanced5_2:13: syntax error
mistral-FT-temp0-45step\advanced5_2:13: error: Invalid module instantiation
mistral-FT-temp0-45step\advanced5_2:16: syntax error
mistral-FT-temp0-45step\advanced5_2:16: error: invalid module item.
mistral-FT-temp0-45step\advanced5_2:17: syntax error
mistral-FT-temp0-45step\advanced5_2:17: error: invalid module item.
mistral-FT-temp0-45step\advanced5_2:18: syntax error
mistral-FT-temp0-45step\advanced5_2:18: error: invalid module item.
mistral-FT-temp0-45step\advanced5_2:19: syntax error
mistral-FT-temp0-45step\advanced5_2:23: error: invalid module item.
mistral-FT-temp0-45step\advanced5_2:24: syntax error
mistral-FT-temp0-45step\advanced5_2:24: error: invalid module item.
mistral-FT-temp0-45step\advanced5_2:25: syntax error
mistral-FT-temp0-45step\advanced5_2:27: error: invalid module item."
advanced5,3,Fail,"mistral-FT-temp0-45step\advanced5_3:275: syntax error
I give up."
basic1,1,No,
basic1,2,Yes,
basic1,3,Fail,"mistral-FT-temp0-45step\basic1_3:6: syntax error
I give up."
basic2,1,Fail,"mistral-FT-temp0-45step\basic2_1:7: syntax error
mistral-FT-temp0-45step\basic2_1:7: error: Invalid module instantiation"
basic2,2,Yes,
basic2,3,Yes,
basic3,1,Fail,"mistral-FT-temp0-45step\basic3_1:16: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:17: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:18: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:19: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:20: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:21: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:22: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:23: warning: Numeric constant truncated to 3 bits.
mistral-FT-temp0-45step\basic3_1:23: syntax error
I give up."
basic3,2,Fail,"mistral-FT-temp0-45step\basic3_2:27: syntax error
I give up."
basic3,3,Fail,"mistral-FT-temp0-45step\basic3_3:38: syntax error
I give up."
basic4,1,Yes,
basic4,2,Fail,"mistral-FT-temp0-45step\basic4_2:11: syntax error
I give up."
basic4,3,Yes,
intermediate1,1,Yes,
intermediate1,2,Yes,
intermediate1,3,No,
intermediate2,1,Fail,"mistral-FT-temp0-45step\intermediate2_1:42: syntax error
I give up."
intermediate2,2,Fail,"mistral-FT-temp0-45step\intermediate2_2:41: syntax error
I give up."
intermediate2,3,Fail,"mistral-FT-temp0-45step\intermediate2_3:48: syntax error
I give up."
intermediate3,1,Fail,"mistral-FT-temp0-45step\intermediate3_1:17: syntax error
mistral-FT-temp0-45step\intermediate3_1:17: error: Invalid module instantiation
mistral-FT-temp0-45step\intermediate3_1:19: error: Invalid module instantiation
mistral-FT-temp0-45step\intermediate3_1:22: error: invalid module item."
intermediate3,2,Fail,"mistral-FT-temp0-45step\intermediate3_2:17: syntax error
mistral-FT-temp0-45step\intermediate3_2:17: error: Invalid module instantiation
mistral-FT-temp0-45step\intermediate3_2:19: error: Invalid module instantiation
mistral-FT-temp0-45step\intermediate3_2:22: error: invalid module item."
intermediate3,3,Fail,"mistral-FT-temp0-45step\intermediate3_3:270: syntax error
I give up."
intermediate4,1,Fail,"mistral-FT-temp0-45step\intermediate4_1:4: syntax error
mistral-FT-temp0-45step\intermediate4_1:4: error: Invalid module instantiation
mistral-FT-temp0-45step\intermediate4_1:7: error: invalid module item.
mistral-FT-temp0-45step\intermediate4_1:8: syntax error
mistral-FT-temp0-45step\intermediate4_1:12: error: invalid module item.
mistral-FT-temp0-45step\intermediate4_1:13: syntax error
mistral-FT-temp0-45step\intermediate4_1:13: error: invalid module item.
mistral-FT-temp0-45step\intermediate4_1:14: syntax error
mistral-FT-temp0-45step\intermediate4_1:16: error: invalid module item."
intermediate4,2,No,
intermediate4,3,No,
intermediate5,1,No,
intermediate5,2,Fail,"mistral-FT-temp0-45step\intermediate5_2:40: syntax error
I give up."
intermediate5,3,Fail,"mistral-FT-temp0-45step\intermediate5_3:30: syntax error
I give up."
intermediate6,1,Yes,
intermediate6,2,Fail,"mistral-FT-temp0-45step\intermediate6_2:222: syntax error
I give up."
intermediate6,3,Fail,"mistral-FT-temp0-45step\intermediate6_3:222: syntax error
I give up."
intermediate7,1,Yes,
intermediate7,2,Fail,"mistral-FT-temp0-45step\intermediate7_2:265: syntax error
I give up."
intermediate7,3,Fail,"mistral-FT-temp0-45step\intermediate7_3:40: error: Increment/decrement operator requires SystemVerilog.
mistral-FT-temp0-45step\intermediate7_3:41: syntax error
mistral-FT-temp0-45step\intermediate7_3:41: error: Invalid module instantiation"
intermediate8,1,No,
intermediate8,2,No,
intermediate8,3,No,
